model_a,model_b,winner_side,winner_model,method,turns,hp_a,hp_b,damage_a,damage_b,hits_a,hits_b,fallback_a,fallback_b,latency_ms_a,latency_ms_b,invalid_a,invalid_b,seed,weapon,sharp,arena,mode,match_length,fallback_policy,ranking_eligible,spec_fingerprint,latency_a_telemetry,latency_b_telemetry,batch_idx,flipped,pair,combo
bot:pro,bot:greedy,b,bot:greedy,points,12,75.2,94.4,5.6,24.8,2,2,0,0,0.3,0.2,0,0,5000,sword,tip,normal,macro,standard,operational,True,029281ed627a,0.3,0.2,0,False,bot:pro vs bot:greedy,sword/normal
bot:greedy,bot:pro,a,bot:greedy,kill,7,88.3,0.0,101.4,11.8,7,6,0,0,0.4,0.2,0,0,5001,sword,edge,normal,macro,standard,operational,True,029281ed627a,0.4,0.2,1,True,bot:pro vs bot:greedy,sword/normal
bot:pro,bot:greedy,a,bot:pro,points,12,79.3,71.2,28.7,20.8,11,6,0,0,0.3,0.1,0,0,5002,sword,back_edge,normal,macro,standard,operational,True,029281ed627a,0.3,0.1,2,False,bot:pro vs bot:greedy,sword/normal
bot:greedy,bot:pro,a,bot:greedy,points,12,66.6,25.4,74.6,33.4,10,22,0,0,0.3,0.2,0,0,5003,sword,pommel,normal,macro,standard,operational,True,029281ed627a,0.3,0.2,3,True,bot:pro vs bot:greedy,sword/normal
bot:pro,bot:greedy,b,bot:greedy,points,12,75.2,94.4,5.6,24.8,2,2,0,0,0.3,0.2,0,0,5004,sword,tip,normal,macro,standard,operational,True,029281ed627a,0.3,0.2,4,False,bot:pro vs bot:greedy,sword/normal
bot:greedy,bot:pro,b,bot:pro,points,12,46.9,78.6,21.4,53.3,6,15,0,0,0.4,0.2,0,0,5005,sword,edge,normal,macro,standard,operational,True,029281ed627a,0.4,0.2,5,True,bot:pro vs bot:greedy,sword/normal
bot:pro,bot:greedy,a,bot:pro,points,12,79.3,71.2,28.7,20.8,11,6,0,0,0.6,0.4,0,0,5006,sword,back_edge,normal,macro,standard,operational,True,029281ed627a,0.6,0.4,6,False,bot:pro vs bot:greedy,sword/normal
bot:greedy,bot:pro,a,bot:greedy,points,12,66.6,25.4,74.6,33.4,10,22,0,0,0.3,0.1,0,0,5007,sword,pommel,normal,macro,standard,operational,True,029281ed627a,0.3,0.1,7,True,bot:pro vs bot:greedy,sword/normal
bot:pro,bot:greedy,a,bot:pro,points,12,100.0,71.6,28.3,0.0,12,0,0,0,0.3,0.1,0,0,6000,sword,tip,ice,macro,standard,operational,True,029281ed627a,0.3,0.1,0,False,bot:pro vs bot:greedy,sword/ice
bot:greedy,bot:pro,a,bot:greedy,points,12,76.8,47.7,52.1,23.1,15,14,0,0,0.6,0.2,0,0,6001,sword,edge,ice,macro,standard,operational,True,029281ed627a,0.6,0.2,1,True,bot:pro vs bot:greedy,sword/ice
bot:pro,bot:greedy,b,bot:greedy,points,12,80.0,84.7,15.1,19.9,12,13,0,0,0.4,0.2,0,0,6002,sword,back_edge,ice,macro,standard,operational,True,029281ed627a,0.4,0.2,2,False,bot:pro vs bot:greedy,sword/ice
bot:greedy,bot:pro,b,bot:pro,points,12,2.1,41.8,58.2,97.8,6,11,0,0,0.3,0.2,0,0,6003,sword,pommel,ice,macro,standard,operational,True,029281ed627a,0.3,0.2,3,True,bot:pro vs bot:greedy,sword/ice
bot:pro,bot:greedy,a,bot:pro,points,12,100.0,71.6,28.3,0.0,12,0,0,0,0.3,0.1,0,0,6004,sword,tip,ice,macro,standard,operational,True,029281ed627a,0.3,0.1,4,False,bot:pro vs bot:greedy,sword/ice
bot:greedy,bot:pro,b,bot:pro,points,12,84.4,91.7,80.5,21.0,3,10,0,0,0.3,0.2,0,0,6005,sword,edge,ice,macro,standard,operational,True,029281ed627a,0.3,0.2,5,True,bot:pro vs bot:greedy,sword/ice
bot:pro,bot:greedy,b,bot:greedy,points,12,80.0,84.7,15.1,19.9,12,13,0,0,0.3,0.2,0,0,6006,sword,back_edge,ice,macro,standard,operational,True,029281ed627a,0.3,0.2,6,False,bot:pro vs bot:greedy,sword/ice
bot:greedy,bot:pro,b,bot:pro,points,12,2.1,41.8,58.2,97.8,6,11,0,0,0.3,0.1,0,0,6007,sword,pommel,ice,macro,standard,operational,True,029281ed627a,0.3,0.1,7,True,bot:pro vs bot:greedy,sword/ice
bot:pro,bot:greedy,b,bot:greedy,kill,5,0.0,72.6,27.4,112.1,4,5,0,0,0.3,0.2,0,0,7000,sword,tip,low_gravity,macro,standard,operational,True,029281ed627a,0.3,0.2,0,False,bot:pro vs bot:greedy,sword/low_gravity
bot:greedy,bot:pro,a,bot:greedy,points,12,77.1,11.0,88.9,22.8,11,9,0,0,0.3,0.2,0,0,7001,sword,edge,low_gravity,macro,standard,operational,True,029281ed627a,0.3,0.2,1,True,bot:pro vs bot:greedy,sword/low_gravity
bot:pro,bot:greedy,a,bot:pro,points,12,96.6,78.0,21.9,3.4,7,2,0,0,0.3,0.1,0,0,7002,sword,back_edge,low_gravity,macro,standard,operational,True,029281ed627a,0.3,0.1,2,False,bot:pro vs bot:greedy,sword/low_gravity
bot:greedy,bot:pro,a,bot:greedy,points,12,64.1,13.1,86.9,36.1,6,15,0,0,0.2,0.1,0,0,7003,sword,pommel,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,3,True,bot:pro vs bot:greedy,sword/low_gravity
bot:pro,bot:greedy,b,bot:greedy,kill,5,0.0,72.6,27.4,112.1,4,5,0,0,0.2,0.1,0,0,7004,sword,tip,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,4,False,bot:pro vs bot:greedy,sword/low_gravity
bot:greedy,bot:pro,a,bot:greedy,points,12,82.4,72.1,27.9,17.7,3,9,0,0,0.2,0.1,0,0,7005,sword,edge,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,5,True,bot:pro vs bot:greedy,sword/low_gravity
bot:pro,bot:greedy,a,bot:pro,points,12,96.6,78.0,21.9,3.4,7,2,0,0,0.2,0.1,0,0,7006,sword,back_edge,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,6,False,bot:pro vs bot:greedy,sword/low_gravity
bot:greedy,bot:pro,a,bot:greedy,points,12,64.1,13.1,86.9,36.1,6,15,0,0,0.2,0.1,0,0,7007,sword,pommel,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,7,True,bot:pro vs bot:greedy,sword/low_gravity
bot:pro,bot:greedy,b,bot:greedy,points,12,76.0,76.9,23.1,24.0,5,2,0,0,0.2,0.1,0,0,8000,dagger,tip,normal,macro,standard,operational,True,029281ed627a,0.2,0.1,0,False,bot:pro vs bot:greedy,dagger/normal
bot:greedy,bot:pro,draw,,timeout_draw,12,67.7,67.4,32.4,32.4,13,12,0,0,0.3,0.4,0,0,8001,dagger,edge,normal,macro,standard,operational,True,029281ed627a,0.3,0.4,1,True,bot:pro vs bot:greedy,dagger/normal
bot:pro,bot:greedy,b,bot:greedy,points,12,60.3,83.0,16.9,39.6,8,16,0,0,0.3,0.1,0,0,8002,dagger,back_edge,normal,macro,standard,operational,True,029281ed627a,0.3,0.1,2,False,bot:pro vs bot:greedy,dagger/normal
bot:greedy,bot:pro,a,bot:greedy,points,12,75.8,17.8,82.3,24.3,9,15,0,0,0.2,0.1,0,0,8003,dagger,pommel,normal,macro,standard,operational,True,029281ed627a,0.2,0.1,3,True,bot:pro vs bot:greedy,dagger/normal
bot:pro,bot:greedy,b,bot:greedy,points,12,76.0,76.9,23.1,24.0,5,2,0,0,0.3,0.1,0,0,8004,dagger,tip,normal,macro,standard,operational,True,029281ed627a,0.3,0.1,4,False,bot:pro vs bot:greedy,dagger/normal
bot:greedy,bot:pro,a,bot:greedy,points,12,74.7,33.1,67.0,25.3,20,13,0,0,0.2,0.1,0,0,8005,dagger,edge,normal,macro,standard,operational,True,029281ed627a,0.2,0.1,5,True,bot:pro vs bot:greedy,dagger/normal
bot:pro,bot:greedy,b,bot:greedy,points,12,60.3,83.0,16.9,39.6,8,16,0,0,0.2,0.1,0,0,8006,dagger,back_edge,normal,macro,standard,operational,True,029281ed627a,0.2,0.1,6,False,bot:pro vs bot:greedy,dagger/normal
bot:greedy,bot:pro,a,bot:greedy,points,12,75.8,17.8,82.3,24.3,9,15,0,0,0.2,0.1,0,0,8007,dagger,pommel,normal,macro,standard,operational,True,029281ed627a,0.2,0.1,7,True,bot:pro vs bot:greedy,dagger/normal
bot:pro,bot:greedy,a,bot:pro,kill,10,98.9,0.0,100.8,1.1,21,1,0,0,0.2,0.1,0,0,9000,dagger,tip,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,0,False,bot:pro vs bot:greedy,dagger/ice
bot:greedy,bot:pro,a,bot:greedy,points,12,77.6,41.4,58.7,22.4,9,10,0,0,0.2,0.1,0,0,9001,dagger,edge,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,1,True,bot:pro vs bot:greedy,dagger/ice
bot:pro,bot:greedy,a,bot:pro,points,12,57.8,39.3,62.2,42.3,13,14,0,0,0.2,0.2,0,0,9002,dagger,back_edge,ice,macro,standard,operational,True,029281ed627a,0.2,0.2,2,False,bot:pro vs bot:greedy,dagger/ice
bot:greedy,bot:pro,b,bot:pro,points,12,73.2,88.7,11.3,26.8,1,14,0,0,0.2,0.1,0,0,9003,dagger,pommel,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,3,True,bot:pro vs bot:greedy,dagger/ice
bot:pro,bot:greedy,a,bot:pro,kill,10,98.9,0.0,100.8,1.1,21,1,0,0,0.2,0.1,0,0,9004,dagger,tip,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,4,False,bot:pro vs bot:greedy,dagger/ice
bot:greedy,bot:pro,a,bot:greedy,points,12,47.9,42.9,57.2,52.2,19,25,0,0,0.2,0.1,0,0,9005,dagger,edge,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,5,True,bot:pro vs bot:greedy,dagger/ice
bot:pro,bot:greedy,a,bot:pro,points,12,57.8,39.3,62.2,42.3,13,14,0,0,0.2,0.1,0,0,9006,dagger,back_edge,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,6,False,bot:pro vs bot:greedy,dagger/ice
bot:greedy,bot:pro,b,bot:pro,points,12,73.2,88.7,11.3,26.8,1,14,0,0,0.2,0.1,0,0,9007,dagger,pommel,ice,macro,standard,operational,True,029281ed627a,0.2,0.1,7,True,bot:pro vs bot:greedy,dagger/ice
bot:pro,bot:greedy,a,bot:pro,points,12,83.2,0.5,99.5,16.8,8,3,0,0,0.2,0.1,0,0,10000,dagger,tip,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,0,False,bot:pro vs bot:greedy,dagger/low_gravity
bot:greedy,bot:pro,b,bot:pro,points,12,54.3,70.0,30.0,45.8,2,8,0,0,0.2,0.1,0,0,10001,dagger,edge,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,1,True,bot:pro vs bot:greedy,dagger/low_gravity
bot:pro,bot:greedy,b,bot:greedy,points,12,91.1,93.9,6.1,8.9,3,3,0,0,0.2,0.1,0,0,10002,dagger,back_edge,low_gravity,macro,standard,operational,True,029281ed627a,0.2,0.1,2,False,bot:pro vs bot:greedy,dagger/low_gravity
