run_id,batch_id,idx,pair_id,cell_id,flip,benchmark_version,physics_version,prompt_version,spec_fingerprint,model_requested_a,model_requested_b,model_used_a,model_used_b,provider_a,provider_b,seed,weapon,arena,control_mode,sharp,match_length,fallback_policy,voter_tier,latency_ms_a,latency_ms_b,latency_ms_max_a,latency_ms_max_b,prompt_tokens_a,completion_tokens_a,prompt_tokens_b,completion_tokens_b,api_calls_a,api_calls_b,invalid_actions_a,invalid_actions_b,fallback_turns_a,fallback_turns_b,fallback_status,eligibility_status,evidence,status,error,match_id,winner_side,winner_model,method,turns,damage_a,damage_b,wall_s,created
cal-dryrun-2026-09-09,local,0,bot:pro|mock:duelist,sword/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260909,sword,normal,macro,tip,sprint,strict,,0.2,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,points,4,5.9,16.8,0.1,1788950996.3826983
cal-dryrun-2026-09-09,local,1,bot:pro|mock:duelist,sword/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260910,sword,normal,joint,tip,sprint,strict,,0.3,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,61.8,24.0,0.2,1788950996.5050342
cal-dryrun-2026-09-09,local,2,bot:pro|mock:duelist,sword/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260911,sword,ice,macro,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,2.3,0.0,0.1,1788950996.6583288
cal-dryrun-2026-09-09,local,3,bot:pro|mock:duelist,sword/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260912,sword,ice,joint,tip,sprint,strict,,0.3,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,points,4,27.3,46.6,0.1,1788950996.7903647
cal-dryrun-2026-09-09,local,4,bot:pro|mock:duelist,bow/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260913,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,kill,4,137.7,30.4,0.1,1788950996.9304762
cal-dryrun-2026-09-09,local,5,bot:pro|mock:duelist,bow/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260914,bow,normal,joint,arrowhead,sprint,strict,,0.3,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,43.6,0.0,0.1,1788950997.0453353
cal-dryrun-2026-09-09,local,6,bot:pro|mock:duelist,bow/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260915,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,kill,4,69.8,103.9,0.1,1788950997.1539855
cal-dryrun-2026-09-09,local,7,bot:pro|mock:duelist,bow/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,mock:duelist,bot:pro,mock:duelist,scripted,scripted,20260916,bow,ice,joint,arrowhead,sprint,strict,,0.3,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,87.3,65.6,0.1,1788950997.2698846
cal-dryrun-2026-09-09,local,8,bot:pro|mock:duelist,sword/normal/macro,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260917,sword,normal,macro,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,points,4,5.9,1.4,0.1,1788950997.385931
cal-dryrun-2026-09-09,local,9,bot:pro|mock:duelist,sword/normal/joint,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260918,sword,normal,joint,tip,sprint,strict,,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,23.9,68.2,0.1,1788950997.5004592
